	WASD2	NCDV2	LWTV2	GTND2	SGSM2
2017-06-28 19:00:00	0.39407048053	0.5276281331	0.5586381627	0.59228680012	0.6781879096
2017-06-28 20:00:00	0.2923717565	0.6111194016	0.5813784213	0.4942071174	0.7145627709
2017-06-28 21:00:00	0.2087958021	0.6541034347	0.5520499197	0.40740378870000005	0.7041088993
2017-06-28 22:00:00	0.2092005938	0.6627201436	0.468380599	0.3895489898	0.6087426335999999
2017-06-28 23:00:00	0.37257852357	0.6247631280999999	0.36039149495	0.57158317556	0.50179677835
2017-06-29 00:00:00	0.5356323766	0.5049066904999999	0.27359334091	0.73249764214	0.415821255364
2017-06-29 01:00:00	0.6854256853	0.38409800326	0.1967275577	0.8850625667	0.31295436379999997
2017-06-29 02:00:00	0.8075087839	0.30042170846	0.1755367302	1.0050855821	0.2798205981
2017-06-29 03:00:00	0.8797520277	0.2292852509	0.22106294778	1.0830814649	0.2977562553
2017-06-29 04:00:00	0.8168732456000001	0.2049425861	0.33644064227	1.0173811714	0.425405400027
2017-06-29 05:00:00	0.6710495652	0.23674260409999998	0.44521320880000004	0.8729237764	0.5296203034
=======
2017-06-23 12:00:00	0.3487480425	0.7195633278	0.38612212438	0.54515219278	0.5297612036
2017-06-23 13:00:00	0.52736664743	0.5645775619	0.3033052248005	0.72435093491	0.45066472233
2017-06-23 14:00:00	0.6908789249	0.40955850906999997	0.23218368162	0.8892314614	0.35422477706
2017-06-23 15:00:00	0.8404515014	0.31603951113	0.1726959693	1.0377553778	0.2772787953
2017-06-23 16:00:00	0.9522653513000001	0.26010595927999997	0.18013348529999998	1.1545469602	0.2670988437
2017-06-23 17:00:00	0.9094987728999999	0.21195157229999997	0.27478556662	1.1129271425	0.36526046318
2017-06-23 18:00:00	0.7399919625	0.20776955039999997	0.34466665147	0.9379938689	0.429679817837
2017-06-23 19:00:00	0.5959493933	0.31180315221	0.4178772603	0.7971237724	0.5235040143
2017-06-23 20:00:00	0.47828597389	0.40616413317	0.4762658676	0.67561622137	0.5794545797999999
2017-06-23 21:00:00	0.37252143712	0.5230924535	0.5083248	0.57539950147	0.6354221255
2017-06-23 22:00:00	0.2768736912	0.5686822384	0.4958038258	0.47575408910000005	0.6386803673
2017-06-23 23:00:00	0.1993700423	0.5940657688	0.4201047101	0.39423995230000003	0.5589262356
2017-06-24 00:00:00	0.262920186	0.5653443335999999	0.32059968055	0.4637290404	0.47117764989
2017-06-24 01:00:00	0.41215894644	0.4609482458	0.22950355617	0.61025264042	0.3636765868
2017-06-24 02:00:00	0.5589865849	0.34795176105	0.1527967726	0.7572253351	0.2756536369
2017-06-24 03:00:00	0.6848227518	0.24348444079999998	0.11557282039999997	0.8860347511	0.2217803337
2017-06-24 04:00:00	0.7770451692	0.1807258725	0.1171018875	0.9762410529000001	0.1998271094
2017-06-24 05:00:00	0.7693621753	0.14203689129999997	0.23086095921	0.9749743295	0.32012755724999997
2017-06-24 06:00:00	0.6331944325000001	0.13679632409999998	0.36259344338	0.8312347408	0.44607753499999997
2017-06-24 07:00:00	0.50562833423	0.28679442406	0.45067948960000004	0.7056645145	0.5368969026
2017-06-24 08:00:00	0.39657117953	0.43462406548	0.542533222	0.5940013763700001	0.6486202025
2017-06-24 09:00:00	0.2914534764	0.5496092806999999	0.6155295547999999	0.49340677190000004	0.7399434834
2017-06-24 10:00:00	0.20069395510000002	0.6371833553999999	0.6241460812999999	0.3999722766	0.7624465542000001
2017-06-24 11:00:00	0.1258774895	0.6988128046	0.5628615457999999	0.32080493870000004	0.7101350892
2017-06-24 12:00:00	0.23521773829999998	0.7044617951	0.4558112731	0.4401641138	0.6056873199999999
2017-06-24 13:00:00	0.40652950006	0.6315625116	0.34770223549	0.60111912779	0.4972786804
2017-06-24 14:00:00	0.5673700394	0.49332515509999997	0.24368938249	0.7664097277999999	0.38474193876999996
2017-06-24 15:00:00	0.7191410818	0.36838856023	0.16882155899999998	0.9188915324	0.2869530522
2017-06-24 16:00:00	0.8499184959	0.27648559597	0.1325340873	1.0495564203	0.232038991
2017-06-24 17:00:00	0.9192227346	0.20616511589999997	0.16760760609999997	1.1205574223	0.25061989399999995
2017-06-24 18:00:00	0.8154135556	0.1625880568	0.28252902934	1.0143102992	0.37135191928
2017-06-24 19:00:00	0.6663344346	0.1839294037	0.38210622952	0.8685592453000001	0.46182197396999997
2017-06-24 20:00:00	0.53584961396	0.33576215544	0.46225425509999996	0.7332230656900001	0.5658614854999999
2017-06-24 21:00:00	0.42477907034	0.4592371133	0.5232899473	0.62532257802	0.6279975211
2017-06-24 22:00:00	0.3208545473	0.5686279538	0.552838481	0.5193076041	0.6942054639999999
2017-06-24 23:00:00	0.2270785402	0.6160875075	0.5149865977	0.43039969570000003	0.6593943154999999
2017-06-25 00:00:00	0.1594436011	0.6494189716000001	0.4201451734	0.3508122087	0.570730468
2017-06-25 01:00:00	0.2878606953	0.582006037	0.293547013526	0.4885688387	0.44719992035
2017-06-25 02:00:00	0.447914781104	0.4572897107	0.19104225199999997	0.645711401822	0.32720220034999997
2017-06-25 03:00:00	0.605868712	0.32001203375	0.106609023	0.8073286918	0.2348678012
2017-06-25 04:00:00	0.7381805157	0.21559361449999997	0.035987818999999976	0.9341970691	0.1388881314
2017-06-25 05:00:00	0.8302401724999999	0.14723457449999997	0.030223174799999974	1.0335129451	0.12179369909999999
2017-06-25 06:00:00	0.779193378	0.07385604949999997	0.14025775159999998	0.9803870923	0.2216000255
2017-06-25 07:00:00	0.633933859	0.057869211099999984	0.28592221275999996	0.8343226416	0.36089420056
2017-06-25 08:00:00	0.50349889464	0.16904928379999998	0.4148095677	0.7012592681900001	0.49948303644
2017-06-25 09:00:00	0.38864003063999997	0.34796846747099996	0.5071100724	0.5880537722	0.6058354843
2017-06-25 10:00:00	0.2809532569	0.5017787565	0.5503280837	0.4825694944	0.6694865273999999
2017-06-25 11:00:00	0.17943631719999997	0.60061521	0.5602492697	0.3797988204	0.7068214006
2017-06-25 12:00:00	0.08733638439999997	0.6458052328	0.5058592226	0.2867753808	0.6610299556
2017-06-25 13:00:00	0.12161454459999999	0.6514736332	0.38947653485	0.3040450417	0.539940694
2017-06-25 14:00:00	0.2972963837	0.5728250058	0.26260388416999997	0.4972559148	0.415775049876
2017-06-25 15:00:00	0.46237501000000003	0.42088076725	0.1521832453	0.65892952971	0.2949410159
2017-06-25 16:00:00	0.6273181002	0.28537756419	0.04116903149999995	0.8272867654	0.1640439943
2017-06-25 17:00:00	0.7636580034	0.1859501485	0.004321449899999996	0.9629879493	0.1027767255
2017-06-25 18:00:00	0.8468870431	0.09122697209999997	0.08510663219999998	1.0480176364	0.1621185342
2017-06-25 19:00:00	0.7614191318	0.03879631579999998	0.20321026924	0.960333218	0.2870175306
2017-06-25 20:00:00	0.6104392196999999	0.09759751280000001	0.295249385509	0.8095686481	0.37505443967999996
2017-06-25 21:00:00	0.4814333273	0.2591614844	0.3836047853	0.67926487977	0.49046835832
2017-06-25 22:00:00	0.36517135974	0.38123880943	0.4545814816	0.5685471412900001	0.5622468049
2017-06-25 23:00:00	0.258776273	0.4988290023	0.4862868493	0.45649609700000005	0.6297765041
2017-06-26 00:00:00	0.14972862789999997	0.5525520888	0.44822718	0.34939333850000004	0.5857862683999999
2017-06-26 01:00:00	0.0763325078	0.5865888611	0.37240659828	0.26826637740000003	0.5309127025
2017-06-26 02:00:00	0.20996910510000003	0.5188400699	0.25024399759	0.40803589780000005	0.39805264679999997
2017-06-26 03:00:00	0.36871777405	0.42244283558999995	0.1568076077	0.56308851269	0.293834441
2017-06-26 04:00:00	0.51245634211	0.27450469606	0.07704049369999999	0.71019155832	0.20237537319999999
2017-06-26 05:00:00	0.6532459596	0.17770451269999998	0.03233789170000001	0.8494517034	0.1292341126
2017-06-26 06:00:00	0.7499169004999999	0.11096490609999998	0.06339779789999997	0.9530201335999999	0.14958896649999998
2017-06-26 07:00:00	0.7311342151	0.05735934209999999	0.1999342568	0.9338951381	0.280423714
2017-06-26 08:00:00	0.5982932757	0.08351130109999999	0.34545036907	0.7998434224	0.417329679789
2017-06-26 09:00:00	0.47332407714	0.25843874618999996	0.4708792173	0.67261245417	0.5617746780999999
2017-06-26 10:00:00	0.35390500692	0.41968784372	0.5731937068999999	0.5559421465900001	0.6827464714
>>>>>>> 0e1a6468ce11193a6c3fd7e07e3c3176e3c6307f
